column,column_ko,column_description,semantic_type,rows,non_missing,missing,missing_rate,unique_values,overall_churn_rate,recommended_preprocessing,recommended_model_family,top_value,top_value_count,min,max,mean,median,skew,kurtosis
CRM_PID_Value_Segment,CRM 고객가치 등급,"CRM 기준 고객가치 등급이다. Bronze, Silver, Gold, Platinum, SME 등으로 구분된다.",categorical,8453,8448,5,0.0005915059742103396,8,0.06494735596829528,"low-cardinality categorical; one-hot/CatBoost native categorical, plus interaction with segment where meaningful","CatBoost, BalancedBagging, or LogisticRegression with one-hot as a baseline",Bronze,3820.0,,,,,,
EffectiveSegment,실질 비즈니스 세그먼트,"실제 사업 규모/유형 세그먼트다. SOHO, VSE, SME 등이 포함된다.",categorical,8453,8453,0,0.0,6,0.06494735596829528,"low-cardinality categorical; one-hot/CatBoost native categorical, plus interaction with segment where meaningful","CatBoost, BalancedBagging, or LogisticRegression with one-hot as a baseline",SOHO,6301.0,,,,,,
Billing_ZIP,청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,categorical,8453,8451,2,0.0002366023896841358,456,0.06494735596829528,high-cardinality categorical; use smoothed cross-fold target encoding or CatBoost native categorical,CatBoost or tree ensemble with leakage-safe target encoding,4000,1606.0,,,,,,
Active_subscribers,활성 가입자 수,현재 사용 중인 활성 가입자 수다.,numeric,8453,8453,0,0.0,61,0.06494735596829528,"numeric and strongly right-skewed; add missing flag, median/zero impute by meaning, log1p, and outlier flag",tree ensemble after log1p/outlier flags; linear model only as weak baseline,,,1.0,110.0,7.774636223825861,6.0,3.089039083111172,19.5215974723858
Not_Active_subscribers,비활성 가입자 수,가입은 되어 있지만 활성 상태가 아닌 가입자 수다. 결측 자체도 의미가 있을 수 있다.,numeric,8453,4304,4149,0.4908316573997397,60,0.06494735596829528,"numeric and strongly right-skewed; add missing flag, median/zero impute by meaning, log1p, and outlier flag",tree ensemble with missing indicator and log1p; keep zero/missing meaning separate,,,1.0,214.0,4.1633364312267656,2.0,11.478870697666983,180.67178117443757
Suspended_subscribers,정지 가입자 수,정지 상태 가입자 수다. 결측률이 매우 높아 결측 여부를 별도 신호로 본다.,numeric,8453,352,8101,0.9583579794155921,13,0.06494735596829528,"numeric and strongly right-skewed; add missing flag, median/zero impute by meaning, log1p, and outlier flag",tree ensemble with missing indicator and log1p; keep zero/missing meaning separate,,,1.0,22.0,1.5767045454545454,1.0,6.064453151914737,47.05515707319554
Total_SUBs,전체 가입자 수,고객이 보유한 전체 가입자 수다.,numeric,8453,8453,0,0.0,89,0.06494735596829528,"numeric and strongly right-skewed; add missing flag, median/zero impute by meaning, log1p, and outlier flag",tree ensemble after log1p/outlier flags; linear model only as weak baseline,,,1.0,235.0,9.960132497338224,7.0,6.318822521843956,81.67529047270295
AvgMobileRevenue,평균 모바일 매출,평균 모바일 서비스 매출이다.,numeric,8453,8453,0,0.0,2150,0.06494735596829528,"numeric; add missing flag if needed, median impute, scale for linear models",tree ensemble after log1p/outlier flags; linear model only as weak baseline,,,0.0,499.83,148.01195551875074,113.17,1.3322506543729176,1.1648146769841348
AvgFIXRevenue,평균 유선 매출,평균 유선 서비스 매출이다. 번들/고착 효과 확인에 사용한다.,numeric,8453,8453,0,0.0,106,0.06494735596829528,"numeric and strongly right-skewed; add missing flag, median/zero impute by meaning, log1p, and outlier flag",tree ensemble with missing indicator and log1p; keep zero/missing meaning separate,,,0.0,480.5,0.8211853779723175,0.0,25.148762804466134,791.1527935194158
TotalRevenue,총 매출,고객 단위 총 매출이다.,numeric,8453,8453,0,0.0,2163,0.06494735596829528,"numeric; add missing flag if needed, median impute, scale for linear models",tree ensemble after log1p/outlier flags; linear model only as weak baseline,,,4.67,499.83,148.83314089672305,113.67,1.333716586691029,1.1523357386406752
ARPU,가입자당 평균 매출,가입자 1명당 평균 매출이다.,numeric,8453,8452,1,0.0001183011948420679,3063,0.06494735596829528,"numeric and strongly right-skewed; add missing flag, median/zero impute by meaning, log1p, and outlier flag",tree ensemble with missing indicator and log1p; keep zero/missing meaning separate,,,0.0,462.83,24.44178892569806,19.314999999999998,7.817853671926192,100.25495334057163
